idx,id,cat_id,timestamp,longitude,latitude
3372,22444420,27,1652900597,46.79536056518555,32.26649856567383
3373,22444420,27,1652900597,46.692779541015625,31.98137092590332
3374,22444420,27,1652900597,47.25336837768555,32.82233810424805
3375,22444420,27,1652900597,47.431278228759766,33.92012023925781
3376,22444420,27,1652900597,47.493309020996094,33.913421630859375
3377,22444435,26,1652901754,46.47416,30.78867
3378,22444473,27,1652905622,48.97795867919922,37.836570739746094
3379,22444473,27,1652905622,49.01287841796875,37.78335952758789
3380,22444547,27,1652939220,49.06037,37.66388
3381,22444549,27,1652940730,47.53181,33.71807
3382,22444578,27,1652942100,48.94201,38.48785
3383,22444586,27,1652943746,48.59585,37.99733
3384,22444670,27,1652959260,48.69397,38.13459
3385,22444710,27,1652976005,48.89793014526367,37.91429138183594
3386,22444710,27,1652976005,48.9700813293457,37.826690673828125
3387,22444714,27,1652976216,47.935211181640625,37.50938034057617
3388,22444714,27,1652976216,47.80527114868164,37.50410842895508
3389,22444714,27,1652976216,47.858741760253906,37.53398132324219
3390,22444715,25,1652976260,48.23862,37.80533
3391,22444716,21,1652976374,50.59937,30.22682
3392,22444717,25,1652976456,48.60789108276367,38.24898910522461
3393,22444717,25,1652976456,48.64503860473633,38.30432891845703
3394,22444717,25,1652976456,48.67304992675781,38.27085876464844
3395,22444717,25,1652976456,48.274620056152344,37.82183074951172
3396,22444718,25,1652976516,48.77746,38.60252
3397,22444719,27,1652976622,49.01670837402344,37.5001106262207
3398,22444719,27,1652976622,49.10803985595703,36.9051399230957
3399,22444719,27,1652976622,49.513118743896484,36.74900817871094
3400,22444719,27,1652976622,49.502689361572266,36.758880615234375
3401,22444720,25,1652976691,50.16611862182617,36.420711517333984
3402,22444720,25,1652976691,50.20492172241211,36.65871810913086
3403,22444723,27,1652977024,48.94145,38.50674
3404,22444750,27,1652986140,47.53389,33.73283
3405,22444748,2,1652987790,48.09603,38.13396
3406,22444757,27,1652988494,48.918209075927734,37.49753952026367
3407,22444757,27,1652988494,48.583648681640625,37.981109619140625
3408,22444757,27,1652988494,48.12805938720703,37.75107955932617
3409,22444757,27,1652988494,48.01245880126953,37.497840881347656
3410,22444762,27,1652989801,50.03774,36.3596
3411,22445019,27,1653022440,48.59012,38.00188
3412,22445008,27,1653025080,49.01685,37.51471
3413,22444911,27,1653028135,47.53376,33.70932
3414,22444927,42,1653028540,49.70317,30.1355
3415,22444955,27,1653029252,50.19145965576172,36.653438568115234
3416,22444955,27,1653029252,50.15496063232422,36.51782989501953
3417,22444955,27,1653029252,50.139381408691406,36.288848876953125
3418,22444955,27,1653029252,50.05339050292969,36.17076873779297
3419,22444955,27,1653029252,50.01810836791992,36.34654998779297
3420,22444991,27,1653030111,52.08868,31.77651
3421,22444992,25,1653030148,47.77902,36.64782
3422,22444993,25,1653030186,47.92369842529297,37.54302978515625
3423,22444993,25,1653030186,47.85279846191406,37.523460388183594
3424,22444996,27,1653030299,49.016090393066406,37.32244110107422
3425,22444996,27,1653030299,49.1053581237793,36.988521575927734
3426,22444996,27,1653030299,48.99509048461914,37.43008041381836
3427,22444997,27,1653030337,48.91415023803711,37.85750961303711
3428,22444997,27,1653030337,48.89857864379883,37.948490142822266
3429,22444998,25,1653030384,48.952720642089844,38.51462936401367
3430,22444998,25,1653030384,48.772029876708984,38.58673095703125
3431,22445001,25,1653030468,48.20606994628906,37.75482177734375
3432,22445001,25,1653030468,48.18730926513672,37.80323028564453
3433,22445003,25,1653030534,48.59690856933594,38.29497146606445
3434,22445003,25,1653030534,48.66204833984375,38.2121696472168
3435,22445003,25,1653030534,48.71575927734375,38.26401138305664
3436,22445003,25,1653030534,48.677921295166016,38.373191833496094
3437,22445015,26,1653032889,50.77381,29.29401
3438,22445047,26,1653043997,50.01259,32.99126
3439,22445074,27,1653052020,48.87937,36.29833
3440,22445150,27,1653052680,49.2387,37.23029
3441,22445100,80,1653054360,49.01713,38.37245
3442,22445097,27,1653057982,48.87962,36.29488
3443,22445116,26,1653058749,46.55508,30.6752
3444,22445158,25,1653062719,49.08365,37.46381
3445,22445159,27,1653062783,48.95137023925781,38.50020980834961
3446,22445159,27,1653062783,48.89268112182617,38.462928771972656
3447,22445159,27,1653062783,48.87187957763672,38.09074020385742
3448,22445159,27,1653062783,48.6038703918457,38.24491882324219
3449,22445159,27,1653062783,48.58934020996094,38.03342819213867
3450,22445161,25,1653062877,47.8604,37.51187
3451,22445287,27,1653081214,50.107421875,36.12163162231445
3452,22445287,27,1653081214,50.170188903808594,36.1201286315918
3453,22445287,27,1653081214,50.210418701171875,36.158241271972656
3454,22445287,27,1653081214,50.24380111694336,36.1739501953125
3455,22445287,27,1653081214,50.13378143310547,36.28887176513672
3456,22445346,27,1653107908,50.08046,36.37697
3457,22445436,26,1653123926,50.65098,26.28222
3458,22445449,26,1653127370,50.71907,26.24702
3459,22445511,25,1653130560,48.95269,38.50948
3460,22445459,2,1653131300,48.46893,38.81669
3461,22445500,26,1653146700,48.92492,38.43736
3462,22445503,27,1653150513,52.12593078613281,32.34688186645508
3463,22445503,27,1653150513,52.17435073852539,32.58407974243164
3464,22445503,27,1653150513,52.0189094543457,31.854520797729492
3465,22445505,27,1653150692,50.238861083984375,36.050819396972656
3466,22445505,27,1653150692,50.2470817565918,36.17829895019531
3467,22445505,27,1653150692,50.232818603515625,36.23908996582031
3468,22445506,27,1653150797,49.10871124267578,36.992340087890625
3469,22445506,27,1653150797,49.019859313964844,37.3277702331543
3470,22445507,27,1653150890,48.7321891784668,38.38417053222656
3471,22445507,27,1653150890,48.588531494140625,37.986000061035156
3472,22445509,27,1653151103,47.940269470214844,37.5148811340332
3473,22445509,27,1653151103,47.85026168823242,37.49325180053711
3474,22445509,27,1653151103,48.720638275146484,38.309329986572266
3475,22445509,27,1653151103,48.72132110595703,38.25783157348633
3476,22445510,27,1653151186,47.56842,35.79552
3477,22445514,27,1653152292,49.59456,36.46432
3478,22445527,27,1653156714,48.39544,37.84691
3479,22445549,27,1653158632,48.98897933959961,37.805240631103516
3480,22445549,27,1653158632,48.859291076660156,37.757259368896484
3481,22445549,27,1653158632,48.132179260253906,37.74489974975586
3482,22445549,27,1653158632,49.03593063354492,37.5614013671875
3483,22445565,27,1653164880,48.92673,38.12614
3484,22445639,27,1653197849,49.030670166015625,37.12588882446289
3485,22445639,27,1653197849,49.01782989501953,37.32406997680664
3486,22445639,27,1653197849,48.98765182495117,37.25299835205078
3487,22445640,27,1653197906,48.742408752441406,38.37765121459961
3488,22445640,27,1653197906,48.579769134521484,37.99296188354492
3489,22445641,27,1653197985,48.986671447753906,37.8125
3490,22445641,27,1653197985,48.91550827026367,38.12702178955078
3491,22445641,27,1653197985,48.91611862182617,37.85963821411133
3492,22445641,27,1653197985,48.89738845825195,37.94546890258789
3493,22445641,27,1653197985,48.89789962768555,37.92292022705078
3494,22445642,25,1653198120,48.96263885498047,38.49814987182617
3495,22445642,25,1653198120,48.865169525146484,38.62105941772461
3496,22445642,25,1653198120,48.959739685058594,38.55097961425781
3497,22445642,25,1653198120,48.94147872924805,38.660160064697266
3498,22445645,27,1653198252,47.66168975830078,36.26105880737305
3499,22445645,27,1653198252,47.56169891357422,35.79140090942383
3500,22445645,27,1653198252,47.53852844238281,35.37186050415039
3501,22445645,27,1653198252,47.78179168701172,36.644901275634766
3502,22445646,27,1653198325,47.84796142578125,37.504581451416016
3503,22445646,27,1653198325,47.93429183959961,37.5148811340332
3504,22445646,27,1653198325,47.87187957763672,37.34593963623047
3505,22445646,27,1653198325,47.725929260253906,37.4105110168457
3506,22445646,27,1653198325,47.75687026977539,37.30158996582031
3507,22445647,25,1653198384,48.718379974365234,38.30554962158203
3508,22445647,25,1653198384,48.71770095825195,38.259891510009766
3509,22445647,25,1653198384,48.67464065551758,38.23413848876953
3510,22445647,25,1653198384,48.7056884765625,38.29010009765625
3511,22445648,27,1653198465,47.92896,35.40468
3512,22445788,26,1653219160,50.77712,29.30174
3513,22445801,42,1653219300,50.62507,29.82239
3514,22445799,27,1653220599,46.91979,32.05193
3515,22445884,42,1653239220,49.64096,29.4873
3516,22445883,27,1653245160,46.91932,32.06291
3517,22445894,27,1653247611,48.13367,37.75452
3518,22446180,25,1653274380,47.44295,35.27882
3519,22445971,26,1653282297,50.03464,36.31407
3520,22445972,25,1653282589,49.01724,37.32571
3521,22445973,27,1653282634,48.916629791259766,37.852020263671875
3522,22445973,27,1653282634,48.90230178833008,37.91674041748047
3523,22445973,27,1653282634,48.980308532714844,37.82128143310547
3524,22445974,25,1653282690,48.77565,38.60149
3525,22445975,25,1653282733,48.68180847167969,38.388458251953125
3526,22445975,25,1653282733,48.68635177612305,38.362030029296875
3527,22445975,25,1653282733,48.71580123901367,38.30263137817383
3528,22445975,25,1653282733,48.673431396484375,38.26005935668945
3529,22445976,27,1653282813,48.12852096557617,37.732540130615234
3530,22445976,27,1653282813,48.207740783691406,37.79090881347656
3531,22445976,27,1653282813,47.84980010986328,37.50938034057617
3532,22445976,27,1653282813,47.75468063354492,37.29515075683594
3533,22446182,26,1653285720,48.48669,38.28547
3534,22446048,27,1653289320,51.1494,34.31752
3535,22446050,27,1653293040,47.62653,33.71429
3536,22446063,27,1653299340,50.005088806152344,36.34449005126953
3537,22446063,27,1653299340,50.0853385925293,36.38602828979492
3538,22446071,25,1653301923,48.45676,38.2762
3539,22446186,27,1653304620,47.92808,37.519
3540,22446091,27,1653307818,48.98855,37.81975
3541,22446114,27,1653315251,48.98866,37.80704
3542,22446184,26,1653321175,48.45118,38.21972
3543,22446195,27,1653321905,49.08646011352539,37.48603820800781
3544,22446195,27,1653321905,49.03533172607422,37.55083084106445
3545,22446195,27,1653321905,49.01572036743164,37.50471878051758
3546,22446195,27,1653321905,48.99388122558594,37.43193817138672
3547,22446195,27,1653321905,49.355098724365234,36.817588806152344
3548,22446196,27,1653321966,48.93961,38.49663
3549,22446203,25,1653323575,47.51085,34.58985
3550,22446251,26,1653333755,48.54975,35.06733
3551,22446271,26,1653336459,48.35715866088867,35.46799087524414
3552,22446271,26,1653336459,48.54661178588867,35.85525894165039
3553,22446303,26,1653338412,50.06751,36.35101
3554,22446305,26,1653338533,48.53916,35.91439
3555,22446306,26,1653338640,49.80561,36.04567
3556,22446390,27,1653371042,51.14611,34.31592
3557,22446391,25,1653371085,50.19383,36.6679
3558,22446393,25,1653371171,48.77157974243164,38.58570098876953
3559,22446393,25,1653371171,48.82032012939453,38.573341369628906
3560,22446394,27,1653371254,47.929229736328125,37.482601165771484
3561,22446394,27,1653371254,47.84450149536133,37.49702072143555
3562,22446394,27,1653371254,47.757789611816406,37.320560455322266
3563,22446394,27,1653371254,47.807621002197266,36.65932083129883
3564,22446394,27,1653371254,48.21072006225586,37.788509368896484
3565,22446394,27,1653371254,48.17570114135742,37.78129959106445
3566,22446396,27,1653371280,47.53145980834961,33.71961975097656
3567,22446396,27,1653371280,47.58625030517578,33.271060943603516
3568,22446396,27,1653371280,47.60871124267578,33.25183868408203
3569,22446395,26,1653371463,48.52002,35.82298
3570,22446508,27,1653372000,48.69062042236328,38.51544952392578
3571,22446508,27,1653372000,48.964881896972656,38.34518814086914
